City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,port macquarie,-31.4333,152.9167,288.79,87,1,2.03,AU,1699903728
222,shelburne,44.0787,-80.2041,284.13,60,6,7.1,CA,1699903990
223,nogliki,51.8333,143.1667,268.34,68,86,6.71,RU,1699903991
224,sao joao da barra,-21.6403,-41.0511,304.2,80,100,8.21,BR,1699903750
225,tavsanli,39.5424,29.4987,282.09,92,100,4.14,TR,1699903992
226,tadine,-21.55,167.8833,295.56,59,79,7.16,NC,1699903993
227,pudozh,61.8099,36.5345,272.01,93,100,3.13,RU,1699903993
228,yangjiang,21.85,111.9667,289.44,76,75,3.62,CN,1699903854
229,agropoli,40.3469,14.9966,290.42,83,100,2.11,IT,1699903994
230,praia da vitoria,38.7333,-27.0667,290.29,88,75,0.89,PT,1699903995
231,obidos,-1.9175,-55.5181,308.58,33,89,3.73,BR,1699903995
232,rio grande,-32.035,-52.0986,297.21,93,100,4.33,BR,1699903996
233,boa vista,2.8197,-60.6733,308.14,41,40,3.6,BR,1699903997
234,fada,9.5667,8.3,295.87,69,46,0.95,NG,1699903997
235,uyar,55.81,94.3153,272.62,81,59,6.41,RU,1699903998
236,sunne,59.8376,13.143,272.33,90,24,2.37,SE,1699903998
237,antsohihy,-14.8796,47.9875,299.35,78,5,1.66,MG,1699903999
238,laguna de perlas,12.3429,-83.6712,299.2,94,100,4.19,NI,1699904000
239,petrovsk-zabaykal'skiy,51.273,108.843,259.22,96,72,1.17,RU,1699904000
240,mount gambier,-37.8333,140.7667,283.84,87,100,1.21,AU,1699904001
241,trinidad,-14.8333,-64.9,311.14,39,40,5.14,BO,1699904001
242,belmonte,-15.8631,-38.8828,299.51,74,0,5.71,BR,1699904002
243,nyandoma,61.669,40.1991,273.17,98,100,2.04,RU,1699904003
244,klaksvik,62.2266,-6.589,280.66,79,59,11.34,FO,1699904004
245,gadzhiyevo,69.2551,33.3362,265.24,94,100,0.9,RU,1699904004
246,kayangel,8.0823,134.7173,302.14,77,100,7.7,PW,1699904005
247,selfoss,63.9331,-20.9971,275.28,58,23,9.07,IS,1699904006
248,novyy urengoy,66.0833,76.6333,258.28,89,6,5.3,RU,1699904007
249,fuxin,42.0156,121.6589,267.3,88,88,1.11,CN,1699904007
250,grand-bassam,5.2118,-3.7388,302.13,86,0,3.53,CI,1699904008
251,magnitogorsk,53.4186,59.0472,275.61,93,40,8.0,RU,1699904009
252,susuman,62.7833,148.1667,240.24,99,81,0.34,RU,1699904009
